date,close,index,ticker,return_12m_pct,daily_return,ma30,deviation_from_30dma_pct
2025-06-02,1543.550048828125,S&P 500 Health Care Select Sector Index,^SP500-35,0.0,,,
2025-06-03,1546.4300537109375,S&P 500 Health Care Select Sector Index,^SP500-35,0.18658318756810122,0.0018658318756810122,,
2025-06-04,1549.760009765625,S&P 500 Health Care Select Sector Index,^SP500-35,0.40231678540094684,0.0021533182485018454,,
2025-06-05,1548.47998046875,S&P 500 Health Care Select Sector Index,^SP500-35,0.3193891668344495,-0.0008259532371522882,,
2025-06-06,1562.81005859375,S&P 500 Health Care Select Sector Index,^SP500-35,1.2477735840342508,0.009254286981909887,,
2025-06-09,1560.3800048828125,S&P 500 Health Care Select Sector Index,^SP500-35,1.0903408067308717,-0.0015549258194077487,,
2025-06-10,1577.3800048828125,S&P 500 Health Care Select Sector Index,^SP500-35,2.191698032750633,0.01089478200617977,,
2025-06-11,1577.97998046875,S&P 500 Health Care Select Sector Index,^SP500-35,2.230567882574608,0.0003803621093714238,,
2025-06-12,1590.8399658203125,S&P 500 Health Care Select Sector Index,^SP500-35,3.0637112821894075,0.008149650509344353,,
2025-06-13,1582.280029296875,S&P 500 Health Care Select Sector Index,^SP500-35,2.5091496384036294,-0.005380765323571457,,
2025-06-16,1575.9000244140625,S&P 500 Health Care Select Sector Index,^SP500-35,2.095816433713815,-0.004032159140406777,,
2025-06-17,1550.1099853515625,S&P 500 Health Care Select Sector Index,^SP500-35,0.4249902054305199,-0.01636527613614891,,
2025-06-18,1547.2900390625,S&P 500 Health Care Select Sector Index,^SP500-35,0.2422979570513073,-0.0018191910997998884,,
2025-06-20,1540.1800537109375,S&P 500 Health Care Select Sector Index,^SP500-35,-0.2183275572920973,-0.004595121258500701,,
2025-06-23,1541.8699951171875,S&P 500 Health Care Select Sector Index,^SP500-35,-0.10884348792014054,0.0010972362628500765,,
2025-06-24,1560.280029296875,S&P 500 Health Care Select Sector Index,^SP500-35,1.0838638164957226,0.01194006903175282,,
2025-06-25,1561.6700439453125,S&P 500 Health Care Select Sector Index,^SP500-35,1.1739169151621764,0.0008908751136575965,,
2025-06-26,1565.3699951171875,S&P 500 Health Care Select Sector Index,^SP500-35,1.413620912754232,0.002369227216863168,,
2025-06-27,1562.7099609375,S&P 500 Health Care Select Sector Index,^SP500-35,1.2412886853860883,-0.001699300604959153,,
2025-06-30,1572.52001953125,S&P 500 Health Care Select Sector Index,^SP500-35,1.8768403865569105,0.006277593948313287,,
2025-07-01,1594.4300537109375,S&P 500 Health Care Select Sector Index,^SP500-35,3.2962977080944755,0.013933071698647437,,
2025-07-02,1578.969970703125,S&P 500 Health Care Select Sector Index,^SP500-35,2.2947051118874295,-0.009696306822510103,,
2025-07-03,1580.760009765625,S&P 500 Health Care Select Sector Index,^SP500-35,2.41067407990756,0.0011336751779407184,,
2025-07-07,1566.969970703125,S&P 500 Health Care Select Sector Index,^SP500-35,1.517276481755836,-0.008723676571590788,,
2025-07-08,1573.719970703125,S&P 500 Health Care Select Sector Index,^SP500-35,1.9545800862048601,0.004307676679324635,,
2025-07-09,1580.4599609375,S&P 500 Health Care Select Sector Index,^SP500-35,2.391235200789077,0.004282839615591616,,
2025-07-10,1590.3599853515625,S&P 500 Health Care Select Sector Index,^SP500-35,3.0326154023302188,0.006264014691134578,,
2025-07-11,1576.43994140625,S&P 500 Health Care Select Sector Index,^SP500-35,2.1307953443489014,-0.0087527629426839,,
2025-07-14,1574.9300537109375,S&P 500 Health Care Select Sector Index,^SP500-35,2.0329761841306304,-0.0009577832022992228,,
2025-07-15,1545.280029296875,S&P 500 Health Care Select Sector Index,^SP500-35,0.11207802883121953,-0.018826248406524138,1566.0036743164062,-1.3233458745604443
2025-07-16,1564.1400146484375,S&P 500 Health Care Select Sector Index,^SP500-35,1.333935743511816,0.012204898137552433,1566.6900065104167,-0.162763013192313
2025-07-17,1545.6099853515625,S&P 500 Health Care Select Sector Index,^SP500-35,0.13345446913117787,-0.011846784254183174,1566.6626708984375,-1.3437918664904291
2025-07-18,1536.280029296875,S&P 500 Health Care Select Sector Index,^SP500-35,-0.47099344376746455,-0.006036423252380407,1566.2133382161458,-1.9111897586929993
2025-07-21,1526.8699951171875,S&P 500 Health Care Select Sector Index,^SP500-35,-1.0806292755846214,-0.006125207644594788,1565.4930053710937,-2.4671467787715007
2025-07-22,1555.8399658203125,S&P 500 Health Care Select Sector Index,^SP500-35,0.796211110972278,0.01897343637360671,1565.2606689453125,-0.6018616139730759
