year,associate_or_diploma_pct,bachelor_or_higher_pct,source
2015,58,42,NCSBN/JNR reported RN baccalaureate or higher rose from 42% in 2015 to 52% in 2024
2024,48,52,NCSBN/JNR 2024 National Nursing Workforce Survey
