type,index,ticker,deviation_pct,threshold_pct
30DMA deviation,S&P 500 Health Care Select Sector Index,^SP500-35,6.84,3
30DMA deviation,MSCI World Health Care Index (IXJ ETF proxy),IXJ,4.26,3
